Player,Team,Role,Country,Summoner_name,gameName,tagLine,puuid
Malrang,Rogue,Jungle,South-Korea,sdfsdfsgert#EUW,sdfsdfsgert,EUW,Z9RkIsSdKT1YKHZ5_VtMlfeoDN_wbDZo8Xw0uFgAWKptaakN2c1C6Jy7qQZC_62FVKiC9Dhk4MUb5A
Larssen,Rogue,Mid,Sweden,george kittle#EUW,george kittle,EUW,ed1LsILrefbNL0guMsEsjee7kbExIRds0X_Yx0ScE3Kqx-FYOxFdHe12-wt6ovR1-TDmsXVV8pzmrQ
Patrik,Rogue,Bot,Czech-Republic,AshtonClutcher#1v9,AshtonClutcher,1v9,XLxwJFGdqOR81GSHSQohS7aXKj96rL5FBCMBApKxOyzK8rGkzSvvba-cMkC8uFN-uOXNyPuoYLuqGg
Jeonghoon,Rogue,Support,South-Korea,Lets Go Astralis#EUW,Lets Go Astralis,EUW,xgFxhNQ73F4h4eWlOIUztPaA6UTbmpXUUgPPbk7T0ZWqfPWgCjrF14Rjx1CdXU7APoCY1Sjl1D6NSA
JNX,SK Gaming,Top,Germany,Urs Kalecinski#JNX,Urs Kalecinski,JNX,M40GOKTx3snSBbR-ijJZiU_r09N5GVbnucUrYJNdefeINV-iwBKi0r0nD7rXDqsZzwBEgBhvhwUKYw
Isma,SK Gaming,Belgium,France,ismααα#EUW,ismααα,EUW,PrLJ6uVS1HxhV-3mQN4hoWaky_xOizo3iSRp4yFPSoSKASk19H9grVw6zrA61UWb7kGkrKprZgnM7A
Reeker,SK Gaming,Mid,Germany,RKR#123,RKR,123,VwN714EF_2PRnOz6e1uLLzKUBMzSM0o3qBTV5yJVEnhPxwpF_OLnz2pjZL43yYjcKkTPjM29weLEow
Rahel,SK Gaming,Bot,South-Korea,2021Worlds0150#EUW,2021Worlds0150,EUW,Mfb5dVRSHy2Wo0Fq9X72KVN3jNDxZCu-AnTmPJk5eOYKwyPjtY5D7UrQadS-O5V_Nxysf_t6hgwdjg
Loopy,SK Gaming,,,,,,vMW05mcapVB-fockLi3dq8VMUjSU8u4jTUB-SyyNKqb78Wx21-E8AhhD8NYCU_t2IJx-JGU65MEmZQ
Irrelevant,Team BDS,Top,Germany,DK Siwoo#dajor,DK Siwoo,dajor,vov0-d0meeroenb-akjn8ASTIjGVNzXu8a5ItS1CCsfrHhP1g_IL6kVIsfCSGgFUSkU4dltyExEvNQ
113,Team BDS,Jungle,Türkiye,113 改善#113,113 改善,113,6Pcb7UPD97nxYe02d2dWFEp0D1WkDNrnAFFTG_qk4mA4KJXnOClutw0f9-h4bRNSJ5292KVdtxTlyQ
Nuc,Team BDS,Morocco,France,BDSnuc#EUW,BDSnuc,EUW,gBHRT92E7UrWseT58twn_PV7XVLzmvECVjC1XBR2_tgS2ETWmE46lheie6X3qLQiz7uEPaPHksAxIg
Ice,Team BDS,Bot,South-Korea,Ice0713#EUW,Ice0713,EUW,Z9Fs-3Arfm6HGUlGvVOJ0Dn80Dr-dMO_52WsVoSsi0QyNEvifdlXyl405Ckm7cS-06c9u0Pvwm310Q
PARUS,Team BDS,Support,Türkiye,Zanka no Tachı#EUW,Zanka no Tachı,EUW,MdPfaQjQnk7HJESHZms35Ou2ojGfQucaJJqEi08WCImjlaKvqN3_tlDeByKW8F9LX-P1vXAdQHuUag
Carlsen,Team Heretics,Top,Denmark,skygge kriger#EUV,skygge kriger,EUV,SZAKFfLuJ3StfLs9t9jgiEhHpvDRNKb1pN47KAL5UvPHLDo_UX5Wm_PTGv6CEzVEwP3mMLSmn0RgRg
Sheo,Team Heretics,Jungle,France,prince maudit#000,prince maudit,000,S-SJTYh_QZ9IOdB0eUfZ2G4HS0X5vyCMjKkoezbB0DhOOXzR7GByDFSCTJJzDARZ0yW3lIq7ejujHA
Kamiloo,Team Heretics,Mid,France,Kamiloo#EUW,Kamiloo,EUW,Qfx626VFa0eMNiHDHQC5PQ-e1f1hRm6hVXGYiYIgWUoUxdvRLSMc2CsIjAqewrsidT_8i6rcRSy2NA
Flakked,Team Heretics,Bot,Spain,Kushala Daora#MHVV,Kushala Daora,MHVV,_ZJdgBSLfX8TBCI8irTtjWNE5ohhaq1Fs1TN0e1xLllCW7HNY2yhw-UYme2SJDbR_wm0fCBKClhvow
Stend,Team Heretics,Support,France,TH Stend#000,TH Stend,000,cCNO6QPVEczyrWEO_SmE5LXrSfl-LTCdlQS7M69dcovx-TVfDwIiQN8yGSXytyrXb8jHm4KmFkSaOQ
Naak-Nako,Team Vitality,Top,Türkiye,Avocado King#Okan,Avocado King,Okan,L0je6qOmSBsjc4jWT7QBbQu7W_-dRdOkVjNw5UqsrSegOxDHTX_I3NwPlkN6p5x-bYLlP1Fx6zR_1w
Lyncas,Team Vitality,Jungle,Lithuania,JG top boy#lync1,JG top boy,lync1,8L6J4uJRKzCMrbuLWPpUiMFz5yQgQdBe6ra3Ml8QTv5RUVSfn-HON-N75c09-zIUeiw1Ck-_0n3lWw
Czajek,Team Vitality,Mid,Poland,Daglas fangirl#EUW,Daglas fangirl,EUW,r5KARKKOqEYo9Hy_bMIA9WEjRGKUaQA7924MsMOvxAXHfAxBtMITLyKmUGZrzibKcn6u4PRZNJLlFA
Carzzy,Team Vitality,Bot,Czech-Republic,G2 Bwipo#rview,G2 Bwipo,rview,i8mnL6EACyz234aASSm4pK4-0P54tVN4LK07Dd12GaFzPP9-KDvFFFpRSPNQwgsgXv_NvyWV110_aA
Hylissang,Team Vitality,Support,Bulgaria,Peshon#EUW,Peshon,EUW,IsaL2tlIWybsHoBzeD9Ja2HfpVpGN1hKdHzEC40S3T7_i8nuIr8PFYWJSAHx0EpCjZUXdR3CMG25hw
