Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7289863810,113,Team BDS,15.2.652.1536,CLASSIC,100,JUNGLE,JUNGLE,Zyra,4,4,23,6.75,17,True,3102,6653,0,1082,3116,3111,3364,13141,35504,26124,9150,611,68,60,165,225,44,8,10,10,8,31.166666666666668,8200,8000,8230,8224,8210,8232,9105,8017,5001,5010,5008,4,11,234,42,26,800,799,166,60,72,117,800,35,True,1,False,0,0,1,True,1,True,9,False,33,3,1,0,0,4,11,0,0,10,421.55329999644033,1870.5074631290001
EUW1_7289804083,113,Team BDS,15.2.652.1536,CLASSIC,100,JUNGLE,JUNGLE,Zyra,4,4,6,2.5,15,True,4632,3158,6653,3116,0,1082,3364,10655,21807,20642,7353,700,45,24,139,163,31,4,6,6,4,26.5,8200,8000,8230,8224,8210,8232,9105,8017,5001,5010,5008,4,11,799,117,72,-1,555,42,117,110,429,800,22,True,1,False,1,1,1,True,1,True,10,True,22,2,0,0,0,6,20,0,0,4,401.92934943742074,1590.627905022
EUW1_7288831345,113,Team BDS,15.2.652.1536,CLASSIC,200,JUNGLE,JUNGLE,Vi,8,2,12,10.0,16,True,6610,2021,3071,3174,1028,1037,3364,12523,19133,32168,18005,1004,25,25,154,179,31,5,7,6,5,28.666666666666668,8000,8300,8010,9111,9104,8299,8304,8347,5001,5008,5005,4,11,117,119,42,20,126,134,555,30,72,-1,35,False,4,True,0,0,1,True,1,True,10,False,16,0,1,0,0,4,31,0,0,6,436.80290935178317,1720.30533431
EUW1_7288782343,113,Team BDS,15.2.652.1536,CLASSIC,100,JUNGLE,JUNGLE,Maokai,4,5,7,2.2,14,False,3020,6653,2055,3108,1052,2502,3364,10056,20805,35089,18251,753,71,15,127,142,36,7,10,4,6,27.333333333333332,8200,8100,8230,8224,8210,8232,8106,8126,5001,5008,5007,4,11,7,799,62,119,72,42,-1,40,800,234,27,True,0,False,1,1,0,False,0,False,6,True,36,4,0,1,1,6,18,0,0,3,367.73509801877856,1640.807481393
EUW1_7288743346,113,Team BDS,15.2.652.1536,CLASSIC,200,NONE,JUNGLE,JarvanIV,1,6,9,1.67,11,False,1102,3071,2021,1037,0,2422,3364,6229,7062,23082,8485,377,14,13,92,105,21,5,7,2,5,19.933333333333334,8000,8300,8010,9111,9104,8299,8347,8304,5001,5008,5005,4,11,119,72,254,126,799,126,72,40,134,234,17,False,2,True,0,0,0,False,0,False,1,False,25,0,1,0,0,3,23,0,0,0,312.37741274356415,1196.477759613
EUW1_7288707143,113,Team BDS,15.2.652.1536,CLASSIC,200,NONE,JUNGLE,Nidalee,4,0,2,6,11,False,3111,6653,3108,3108,0,0,3364,6897,5752,18134,15036,0,2,9,120,129,16,2,5,2,2,16.516666666666666,8000,8200,8010,9111,9105,8299,8210,8232,5011,5008,5005,4,11,119,134,163,30,800,72,-1,800,893,-1,10,False,2,True,0,0,0,False,0,False,0,False,19,0,0,0,0,3,1,0,0,8,417.11503777935866,992.1044135090001
EUW1_7288595586,113,Team BDS,15.2.652.1536,CLASSIC,200,TOP,JUNGLE,Viego,7,12,10,1.42,15,False,3053,3078,0,1011,3082,3111,3364,12124,18832,54175,20256,309,23,25,121,146,43,12,11,7,11,34.71666666666667,8000,8300,8010,9111,9104,8299,8347,8304,5001,5008,5005,4,11,119,134,800,42,110,42,555,799,72,429,39,False,3,True,1,1,0,False,1,True,10,False,47,2,0,0,1,9,7,0,0,2,349.1366545472231,2083.623717498
EUW1_7288503694,113,Team BDS,15.2.652.1536,CLASSIC,200,JUNGLE,JUNGLE,Zyra,14,3,13,9.0,17,True,3157,4645,4630,1026,6653,3020,3364,14796,41368,26305,12528,704,59,34,188,222,37,6,8,7,6,30.516666666666666,8200,8000,8230,8224,8210,8232,9105,8017,5001,5010,5008,4,11,8,119,800,26,126,107,72,234,555,800,36,False,4,True,0,0,1,True,1,True,7,False,26,0,1,0,0,4,15,0,1,2,484.70043124149504,1831.6466112270002
EUW1_7288407138,113,Team BDS,15.2.652.1536,CLASSIC,200,MIDDLE,JUNGLE,Vi,10,3,19,9.67,18,True,3053,6610,2021,3026,8020,3111,3364,17088,38063,65926,36159,1410,49,36,197,233,42,8,9,5,6,39.233333333333334,8000,8300,8010,9111,9104,8299,8304,8347,5001,5008,5005,4,11,429,800,555,62,897,897,42,72,35,119,37,False,3,True,1,1,2,True,3,True,8,False,32,3,0,0,0,3,28,0,1,2,435.44685905667586,2354.601949957
EUW1_7288335478,113,Team BDS,15.2.652.1536,CLASSIC,100,JUNGLE,JUNGLE,Nidalee,6,6,9,2.5,14,True,4645,3020,0,4628,1082,6653,3364,11152,17260,34534,23069,444,7,10,137,147,21,4,6,2,4,24.566666666666666,8000,8200,8010,9111,9105,8299,8210,8232,5001,5008,5005,4,11,-1,42,800,555,122,126,799,234,555,72,20,False,0,False,1,1,0,False,2,True,10,True,15,2,0,0,0,3,2,0,0,3,453.7126996892445,1474.8062822620002
EUW1_7288253335,113,Team BDS,15.2.652.1536,CLASSIC,100,JUNGLE,JUNGLE,Nocturne,6,3,16,7.33,14,True,3073,6631,0,3134,1029,3047,3364,10843,18344,33977,16672,672,177,25,124,149,32,5,6,7,4,26.3,8000,8100,8008,9111,9104,8299,8106,8143,5001,5008,5005,4,11,72,77,122,555,119,200,30,800,107,523,35,True,2,False,1,1,0,False,0,False,8,True,13,1,0,0,0,2,9,0,0,12,412.11333132613726,1578.714227938
EUW1_7287644462,113,Team BDS,15.2.652.1536,CLASSIC,200,MIDDLE,JUNGLE,Viego,3,6,11,2.33,15,True,6610,3078,2055,3111,3071,0,3364,11447,19140,36176,19266,440,20,31,150,181,11,10,3,1,2,25.15,8000,8300,8010,9111,9104,8299,8347,8304,5001,5008,5005,4,11,119,30,110,-1,72,800,114,7,72,78,33,False,3,True,1,1,0,False,3,True,11,True,17,0,0,0,0,2,18,0,0,0,455.02711317392885,1509.4940560030002
EUW1_7287591418,113,Team BDS,15.2.652.1536,CLASSIC,200,MIDDLE,JUNGLE,XinZhao,15,2,16,15.5,17,True,6610,3071,0,3156,2021,3047,3364,14105,33143,52960,38985,818,32,29,159,188,28,4,7,4,4,29.483333333333334,8000,8300,8008,9111,9104,8299,8347,8304,5001,5008,5005,4,11,799,119,30,72,800,42,72,60,24,-1,48,False,4,True,0,0,1,True,1,True,9,False,20,0,1,0,0,7,69,0,1,2,478.34691916506205,1769.2844333350001
EUW1_7287550810,113,Team BDS,15.2.652.1536,CLASSIC,100,JUNGLE,JUNGLE,Diana,8,4,7,3.75,15,True,3157,3152,4630,1082,3158,1026,3364,10450,20214,26346,9407,417,12,21,148,169,18,3,5,4,3,23.316666666666666,8000,8300,8010,9111,9104,8299,8347,8304,5001,5008,5005,4,11,234,-1,78,429,126,800,62,555,72,420,35,True,1,False,1,1,0,False,1,True,9,True,17,1,0,0,0,2,41,0,1,1,448.1126813001782,1399.269505913
EUW1_7286419719,113,Team BDS,15.2.652.1536,CLASSIC,100,JUNGLE,JUNGLE,Elise,15,8,9,3.0,15,False,4645,3020,4630,3089,1026,4646,3364,14258,37721,28702,11267,455,41,16,115,131,32,6,7,6,6,30.616666666666667,8100,8200,8128,8126,8137,8135,8233,8232,5001,5008,5005,4,11,84,234,555,72,54,421,800,12,897,893,36,False,1,False,1,1,0,False,0,False,5,True,28,3,0,1,1,8,7,0,0,1,465.5244869369536,1837.7232977400001
EUW1_7286354241,113,Team BDS,15.2.652.1536,CLASSIC,200,JUNGLE,JUNGLE,Viego,5,5,7,2.4,12,False,2021,3078,2055,1028,3133,3111,3364,8024,12010,30844,15604,705,18,12,111,123,26,5,6,5,3,22.4,8000,8300,8010,9111,9104,8299,8304,8347,5001,5008,5005,4,11,-1,134,114,800,555,119,78,92,72,800,17,True,2,True,0,0,0,False,0,False,1,False,26,1,1,0,1,6,51,0,1,6,358.10915448791695,1344.4746541850002
EUW1_7286281768,113,Team BDS,15.2.652.1536,CLASSIC,100,JUNGLE,JUNGLE,Nocturne,7,9,14,2.33,17,True,3073,3053,3026,1028,3111,0,3364,13088,26600,51921,22970,578,233,32,140,172,43,8,11,7,8,32.416666666666664,8000,8100,8010,9111,9104,8299,8106,8143,5001,5008,5005,4,11,119,420,112,154,30,555,62,107,112,30,40,True,2,False,0,0,1,True,2,False,10,False,32,1,1,0,1,5,114,0,3,1,403.61593841624796,1945.731734295
EUW1_7286192161,113,Team BDS,15.2.652.1536,CLASSIC,200,JUNGLE,JUNGLE,Vi,3,10,12,1.5,15,False,6610,3071,0,3047,1028,1036,3363,9656,12737,41605,11277,463,29,9,147,156,28,10,15,4,10,31.25,8000,8300,8010,9111,9104,8299,8304,8347,5001,5008,5005,4,11,42,40,800,114,119,200,72,201,119,122,28,False,1,True,0,0,0,False,0,False,0,False,43,3,1,1,2,10,56,0,1,0,308.88404187932787,1875.8476823120002
EUW1_7285484989,113,Team BDS,15.2.652.1536,CLASSIC,200,MIDDLE,JUNGLE,Vi,13,5,16,5.8,17,True,3111,3071,0,6610,3026,2502,3364,15201,35897,45969,21905,233,41,22,169,191,36,9,14,5,8,31.033333333333335,8000,8300,8010,9111,9104,8299,8304,8347,5001,5008,5005,4,11,429,119,19,800,62,77,119,555,799,517,37,True,3,True,0,0,1,True,1,True,8,True,30,2,1,0,0,3,100,0,1,1,489.5988748239035,1862.9133364850002
